data,callsign,departure,arrivee,registration,Parking,Parking0,Parking1,Parking2,Parking3,Parking4,Parking5,Parking6,Parking7,Parking8,Parking9,Parking10,Parking11
20170803,GCR791Z,ZYQQ,ZBTJ,B3232,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,GCR7813,ZBTJ,ZYTL,B3232,210.0,210,210,210,210,210,210,210,210,210,210,210,210
20170803,GCR785V,ZSHC,ZBTJ,B3235,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,GCR7859,ZBTJ,ZHHH,B3235,210.0,210,210,210,210,210,210,210,210,210,210,210,210
20170803,CGZ712Y,ZBSJ,ZBTJ,B3242,,,,,,,,,,,,,
20170803,CGZ712X,ZBTJ,ZUWX,B3242,,,,,,,,,,,,,
20170803,GCR7883,ZBTJ,ZSSS,B3243,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR7884,ZSSS,ZBTJ,B3243,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170802,GCR7860,ZHHH,ZBTJ,B3245,213.0,213,213,213,213,213,213,213,211,211,215,215,215
20170803,GCR7907,ZBTJ,ZBOW,B3245,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,GCR7908,ZBOW,ZBTJ,B3245,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,GCR7851,ZBTJ,ZSHC,B3245,208.0,208,208,208,208,208,208,208,208,208,208,208,208
20170803,HXA2841,ZBOW,ZBTJ,B3251,601.0,414,414,414,414,414,414,414,414,414,414,414,414
20170803,HXA2842,ZBTJ,ZBOW,B3251,601.0,414,414,414,414,414,414,414,414,414,414,414,414
20170803,JBE310,ZBTJ,ZBHD,B3281,210.0,210,210,210,210,210,210,210,210,210,210,210,210
20170803,HXA2820,ZBES,ZBTJ,B3369,601.0,601,601,601,601,601,601,601,601,601,601,601,601
20170803,HXA2669,ZBTJ,ZLGY,B3369,601.0,601,601,601,601,601,601,601,601,601,601,601,601
20170802,HXA2655,ZBZJ,ZBTJ,B3371,601.0,601,601,601,601,601,601,601,601,601,601,601,601
20170803,HXA2905,ZBTJ,ZLTS,B3371,601.0,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R
20170803,HXA2906,ZLTS,ZBTJ,B3371,601.0,601,601,601,601,601,601,601,601,601,601,601,601
20170803,HXA2925,ZBTJ,ZYTL,B3371,601.0,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R,414R
20170803,HXA2926,ZYTL,ZBTJ,B3371,601.0,601,601,601,601,601,601,601,601,601,601,601,601
20170803,HXA2843,ZBLL,ZBTJ,B3378,601.0,414,414,414,414,414,414,414,414,414,414,414,414
20170803,HXA2844,ZBTJ,ZBLL,B3378,601.0,414,414,414,414,414,414,414,414,414,414,414,414
20170803,JOY1610,ZBTJ,ZBOW,B3710,,,,,,,,,,,,,
20170803,JOY1609,ZBOW,ZBTJ,B3710,,,,,,,,,,,,,
20170803,JOY1595,ZBTJ,ZSYT,B3710,,,,,,,,,,,,,
20170803,JOY1602,ZBTJ,ZBSJ,B3722,,,,,,,,,,,,,
20170803,JOY1601,ZBSJ,ZBTJ,B3722,,,,,,,,,,,,,
20170803,JOY1604,ZBTJ,ZBYN,B3722,,,,,,,,,,,,,
20170803,CSH9115,ZSSS,ZBTJ,B5142,219.0,219,219,219,219,219,219,219,219,219,219,219,219
20170803,CSH9116,ZBTJ,ZSSS,B5142,218.0,218,218,218,218,218,218,218,218,218,218,218,218
20170803,CXA8203,ZYTL,ZBTJ,B5151,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,CXA8203,ZBTJ,ZLXN,B5151,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,CXA8204,ZLXN,ZBTJ,B5151,226.0,226,226,226,226,226,226,226,226,226,226,226,226
20170803,CXA8204,ZBTJ,ZYTL,B5151,226.0,226,226,226,226,226,226,226,226,226,226,226,226
20170803,CSN6655,ZSYW,ZBTJ,B5156,220.0,220,220,220,220,220,220,220,220,220,220,220,220
20170803,CSN6656,ZBTJ,ZSYW,B5156,220.0,220,220,220,220,220,220,220,220,220,220,220,220
20170802,CXA8240,ZLXY,ZBTJ,B5160,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,CXA8321,ZBTJ,ZSHC,B5161,226.0,226,226,226,226,226,226,226,226,226,226,226,226
20170803,OKA3035,ZBTJ,ZSNT,B5181,224.0,224,224,224,224,224,224,224,224,224,224,224,224
20170803,CCA1663,ZBTJ,ZSWH,B5211,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA1664,ZSWH,ZBTJ,B5211,203.0,203,203,203,203,203,203,203,203,203,203,203,203
20170803,CCA1523,ZBTJ,ZSSS,B5211,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA1524,ZSSS,ZBTJ,B5211,117.0,117,117,117,117,117,117,117,117,117,117,117,117
20170803,CCA1656,ZSPD,ZBTJ,B5213,202.0,202,202,202,202,202,202,202,202,202,202,202,202
20170803,CCA4547,ZGGG,ZBTJ,B5220,201.0,201,201,201,201,201,201,201,201,201,201,201,201
20170803,CCA4547,ZBTJ,ZYTN,B5220,201.0,201,201,201,201,201,201,201,201,201,201,201,201
20170803,CCA4548,ZYTN,ZBTJ,B5220,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA4548,ZBTJ,ZGGG,B5220,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA1679,ZBTJ,ZUCK,B5227,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA1680,ZUCK,ZBTJ,B5227,118.0,118,118,118,118,118,118,118,118,118,118,118,118
20170803,CCA1527,ZBTJ,ZSSS,B5227,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA1528,ZSSS,ZBTJ,B5227,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CSH9131,ZSPD,ZBTJ,B5260,219.0,219,219,219,219,219,219,219,219,219,219,219,219
20170803,CSH9132,ZBTJ,ZSPD,B5260,218.0,218,218,218,218,218,218,218,218,218,218,218,218
20170803,CSN8558,ZBTJ,ZGGG,B5291,218.0,218,218,218,218,218,218,218,218,218,218,218,218
20170803,CXA8681,ZBTJ,ZSAM,B5301,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170802,CXA8380,ZGSZ,ZBTJ,B5306,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,CXA8271,ZBTJ,ZBLA,B5306,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,CXA8293,ZBTJ,ZLLL,B5306,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,CXA8294,ZLLL,ZBTJ,B5306,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,CXA8239,ZBTJ,ZLXY,B5306,226.0,226,226,226,226,226,226,226,226,226,226,226,226
20170803,CXA8240,ZLXY,ZBTJ,B5306,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,CSZ9122,ZBTJ,ZGSZ,B5357,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CHH7202,ZGGG,ZBTJ,B5371,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,CHH7201,ZBTJ,ZGGG,B5371,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,CXA8059,ZBTJ,ZYHB,B5385,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170802,CCA1524,ZSSS,ZBTJ,B5387,108.0,108,108,108,108,108,108,108,108,108,108,108,107
20170803,CCA1633,ZBTJ,ZHSY,B5387,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA1634,ZHSY,ZBTJ,B5387,201.0,201,201,201,201,201,201,201,201,201,201,201,201
20170803,CCA1389,ZBTJ,ZJSY,B5387,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,FZA661Q,ZSJN,ZBTJ,B5430,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,FZA662Z,ZBTJ,ZSNT,B5430,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,CCA1677,ZYHB,ZBTJ,B5442,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA1677,ZBTJ,ZGKL,B5442,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA1678,ZGKL,ZBTJ,B5442,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA1678,ZBTJ,ZYHB,B5442,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CSN3168,ZHHH,ZBTJ,B5445,221.0,221,221,221,221,221,221,221,221,221,221,221,221
20170803,CSN3167,ZBTJ,ZHHH,B5445,217.0,217,217,217,217,217,217,217,217,217,217,217,217
20170802,CCA1252,ZLXY,ZBTJ,B5447,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CCA1529,ZBTJ,ZSAM,B5447,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA1530,ZSAM,ZBTJ,B5447,203.0,203,203,203,203,203,203,203,203,203,203,203,203
20170803,CCA1387,ZBTJ,ZGGG,B5447,203.0,203,203,203,203,203,203,203,203,203,203,203,203
20170802,CCA8276,ZSWZ,ZBTJ,B5485,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CCA1417,ZBTJ,ZUGY,B5485,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA1418,ZUGY,ZBTJ,B5485,117.0,117,117,117,117,117,117,117,117,117,117,117,117
20170803,CCA1259,ZBTJ,ZUGY,B5485,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA1260,ZUGY,ZBTJ,B5495,117.0,117,117,117,117,117,117,117,117,117,117,117,117
20170803,CCA1319,ZBTJ,ZGSZ,B5495,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA171,ZBTJ,RKSI,B5508,117.0,117,117,117,117,117,117,117,117,117,117,117,117
20170803,CCA187,ZBTJ,RCSS,B5508,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CCA172,RKSI,ZBTJ,B5508,202.0,202,202,202,202,202,202,202,202,202,202,202,202
20170803,CCA188,RCSS,ZBTJ,B5508,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CCA1245,ZBTJ,ZLLL,B5509,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CCA1246,ZLLL,ZBTJ,B5509,117.0,117,117,117,117,117,117,117,117,117,117,117,117
20170803,CCA167X,ZSYT,ZBTJ,B5510,201.0,201,201,201,201,201,201,201,201,201,201,201,201
20170803,CCA1401,ZBTJ,ZPPP,B5510,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA1318,ZGGG,ZBTJ,B5518,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CCA8275,ZBTJ,ZSWZ,B5518,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CCA1396,ZGGG,ZBTJ,B5519,201.0,201,201,201,201,201,201,201,201,201,201,201,201
20170803,CCA8283,ZBTJ,ZBYC,B5519,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CSH913V,ZBTJ,ZSSS,B5523,218.0,218,218,218,218,218,218,218,218,218,218,218,218
20170803,CSH9063,ZSSS,ZBTJ,B5523,218.0,218,218,218,218,218,218,218,218,218,218,218,218
20170803,CSH9064,ZBTJ,ZSSS,B5523,218.0,218,218,218,218,218,218,218,218,218,218,218,218
20170803,CCA103,ZBTJ,VHHH,B5525,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA104,VHHH,ZBTJ,B5525,202.0,202,202,202,202,202,202,202,202,202,202,202,202
20170803,CCA1395,ZBTJ,ZGGG,B5525,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CXA8365,ZBTJ,ZGSZ,B5535,226.0,226,226,226,226,226,226,226,226,226,226,226,226
20170803,CSH906V,ZBTJ,ZSSS,B5548,218.0,218,218,218,218,218,218,218,218,218,218,218,218
20170803,OKA2918,ZBTJ,ZYHB,B5562,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,OKA3021,ZYHB,ZBTJ,B5562,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA2757,ZBTJ,ZGDY,B5562,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA2861,ZBTJ,ZGHA,B5571,224.0,224,224,224,224,224,224,224,224,224,224,224,224
20170803,OKA2862,ZGHA,ZBTJ,B5571,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,OKA2788,ZBTJ,ZGGG,B5571,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA287S,ZBTJ,ZSNB,B5573,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,OKA2878,ZSNB,ZBTJ,B5573,225.0,225,225,225,225,225,225,225,225,225,225,225,225
20170803,OKA2847,ZBTJ,ZUCK,B5573,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170802,OKA2824,ZLXY,ZBTJ,B5575,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,OKA2820,ZGKL,ZBTJ,B5575,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA2805,ZBTJ,ZSHC,B5575,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA2849,ZGHA,ZBTJ,B5578,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA2849,ZBTJ,ZYHB,B5578,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA2850,ZYHB,ZBTJ,B5578,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,OKA2850,ZBTJ,ZGHA,B5578,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,CHH7797,ZSCN,ZBTJ,B5580,211.0,211,211,211,211,211,211,211,211,211,211,211,211
