data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,changing times,remote numbers,delay
20180718,GCR6491,ZHNY,ZBTJ,44700,51000,44580,49740,E190,28.72,TianjinAirlines,16L,209,B3120,,,
20180718,GCR6492,ZBTJ,ZHNY,64200,70500,65340,70800,E190,28.72,TianjinAirlines,16R,208,B3120,,,
20180718,GCR7581,ZLXY,ZBTJ,50700,57000,51600,56580,E190,28.72,TianjinAirlines,16L,212,B3128,,,
20180718,GCR7581,ZBTJ,ZBXH,60300,66000,60900,64980,E190,28.72,TianjinAirlines,16R,206,B3128,,,
20180718,GCR7582,ZBXH,ZBTJ,69000,73500,68580,72360,E190,28.72,TianjinAirlines,16L,213,B3128,,,
20180718,GCR7817,ZBTJ,ZSFY,29700,35700,30960,36360,E190,28.72,TianjinAirlines,16R,211,B3129,,,
20180718,GCR7818,ZSFY,ZBTJ,58200,64200,60480,65400,E190,28.72,TianjinAirlines,16L,206,B3129,,,
20180718,HXA2901,ZBUC,ZBTJ,67800,71700,70500,73860,CRJ9,23.2,Chinaexpressair,16L,603,B3142,,,
20180718,HXA2902,ZBTJ,ZBUC,77000,79800,79920,83400,CRJ9,23.2,Chinaexpressair,16R,603,B3142,,,
20180717,GCR7829,ZBHH,ZBTJ,-12300,-7200,-480,3000,E190,28.72,TianjinAirlines,16L,211,B3152,,,
20180718,GCR7909,ZBTJ,ZYQQ,55200,61200,55260,61740,E190,28.72,TianjinAirlines,16R,208,B3152,,,
20180718,GCR7910,ZYQQ,ZBTJ,65100,72900,65100,71400,E190,28.72,TianjinAirlines,16L,213,B3152,,,
20180718,GCR7833,ZBTJ,ZBTL,29100,35100,30120,34980,E190,28.72,TianjinAirlines,16R,208,B3158,,,
20180718,GCR6658,ZYTL,ZBTJ,64800,69300,64980,67620,E190,28.72,TianjinAirlines,16L,214,B3161,,,
20180718,GCR6658,ZBTJ,ZBHH,73500,78600,74040,77940,E190,28.72,TianjinAirlines,16R,211,B3161,,,
20180718,GCR6657,ZBHH,ZBTJ,64800,69900,65340,69540,E190,28.72,TianjinAirlines,16L,215,B3169,,,
20180718,GCR6657,ZBTJ,ZYTL,73500,77100,75660,78780,E190,28.72,TianjinAirlines,16R,209,B3169,,,
20180718,CBG8853,ZGCD,ZBTJ,42000,49800,54420,61440,E190,28.72,SPRAY,16L,110,B3173,,,
20180718,CBG8854,ZBTJ,ZGCD,53400,61800,65940,73920,E190,28.72,SPRAY,16R,113,B3173,,,
20180718,GCR6653,ZBHH,ZBTJ,35700,41100,36180,39720,E190,28.72,TianjinAirlines,16L,211,B3190,,,
20180718,GCR6653,ZBTJ,ZSYT,45000,49200,45120,47760,E190,28.72,TianjinAirlines,16R,210,B3190,,,
20180718,GCR6654,ZSYT,ZBTJ,51600,56400,54420,56940,E190,28.72,TianjinAirlines,16L,207,B3190,,,
20180718,GCR6654,ZBTJ,ZBHH,59400,64800,60600,64320,E190,28.72,TianjinAirlines,16R,210,B3190,,,
20180718,GCR7915,ZBTJ,ZBCF,30000,34800,31380,35280,E190,28.72,TianjinAirlines,16R,208,B3192,,,
20180718,GCR7916,ZBCF,ZBTJ,56400,61200,58560,61920,E190,28.72,TianjinAirlines,16L,213,B3192,,,
20180718,GCR7849,ZBTJ,ZLXY,64800,72600,66960,73440,E190,28.72,TianjinAirlines,16R,210,B3192,,,
20180718,GCR7850,ZLXY,ZBTJ,75900,82200,77160,82500,E190,28.72,TianjinAirlines,16L,211,B3192,,,
20180718,GCR7843,ZBTJ,ZHCC,32400,38100,34260,39000,E190,28.72,TianjinAirlines,16R,208,B3195,,,
20180718,GCR7844,ZHCC,ZBTJ,64500,70500,65820,70620,E190,28.72,TianjinAirlines,16L,209,B3195,,,
20180718,CBG8821,ZUNC,ZBTJ,37200,45600,41400,49020,E190,28.72,SPRAY,16L,111,B3215,,,
20180718,CBG8822,ZBTJ,ZUNC,51230,61800,52920,60900,E190,28.72,SPRAY,16R,111,B3215,,,
20180718,HXA2842,ZBTJ,ZBOW,78000,83700,600,5400,CRJ9,23.2,Chinaexpressair,16R,601,B3227,,,
20180718,HXA2841,ZBOW,ZBTJ,86100,5100,8100,12060,CRJ9,23.2,Chinaexpressair,16L,602,B3227,,,
